sex_age_cat,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
female_0,0.03382165003264257,0.06678715190825729,0.08823750720879342,4.561036091034183e-5,5.055509911891606e-5,5.772338488736744e-5,0,0,0
female_1,0.03162163303426252,0.050182422373634517,0.08049063460620784,5.312623159538207e-5,7.852616979793737e-5,6.45488574180723e-5,0,0,0
female_2,0.030520614672386252,0.043912102142964045,0.07800700092001786,5.711867238406498e-5,9.77719771448957e-5,6.804546432733109e-5,0,0,0
female_3,0.02970161595747064,0.03791064951112439,0.07433528469273186,6.165071329993022e-5,1.2334534777154617e-4,7.197876644758245e-5,0,0,0
female_4,0.028733207923305262,0.032976073957141604,0.0711553760395883,6.582915746946449e-5,1.5294746614371343e-4,7.603025094876471e-5,0,0,0
female_5,0.027913893618393616,0.028450913146702155,0.06830877239490721,7.071721068991017e-5,1.889491400110388e-4,8.020851184045144e-5,0,0,0
female_6,0.027086262763304378,0.02485830028402867,0.06547677552902839,7.633622111225799e-5,2.3227679154170312e-4,8.4792868392882e-5,0,0,0
female_7,0.026208252626865044,0.021631338795551174,0.06260532945225745,8.203995061681238e-5,2.826001770432908e-4,8.961876139907901e-5,0,0,0
female_8,0.025359151324794826,0.018952888629497816,0.06004613882317285,8.846438270458106e-5,3.4169539512297355e-4,9.47372122012183e-5,0,0,0
female_9,0.02456285837021573,0.016565833345848407,0.057614405224424015,9.469973914184689e-5,4.090990558567114e-4,1.0014781608956714e-4,0,0,0
female_10,0.023812429489187256,0.014463371522046495,0.055051259378990705,1.0147492707005565e-4,4.8459405018594836e-4,1.0594540876863215e-4,0,0,0
female_11,0.02321240030462789,0.01259803910118024,0.05242469006116489,1.0870436453182657e-4,5.666950142665377e-4,1.120251732394722e-4,0,0,0
female_12,0.022596506603164965,0.011038806662329679,0.050155682384230724,1.1600258951318675e-4,6.566216537769982e-4,1.1844205958520857e-4,0,0,0
female_13,0.022005507602442922,0.009725953619951322,0.04810607162331043,1.2403946271944126e-4,7.50984425796014e-4,1.2517785207964108e-4,0,0,0
female_14,0.021423893685975037,0.00859637668365191,0.04574434002015921,1.3231754301621672e-4,8.448740733266243e-4,1.3215248304081917e-4,0,0,0
female_15,0.020935365432394264,0.007580016545977493,0.04348457731621748,1.4092570033531285e-4,9.400853427293062e-4,1.3964950456401813e-4,0,0,0
female_16,0.02044224329334391,0.006712798156302348,0.04133097897574302,1.495515141646991e-4,0.0010367988829979168,1.4763986655937013e-4,0,0,0
female_17,0.019998324219739703,0.005986938543445863,0.03928196381924045,1.5844093270398935e-4,0.0011279073643435376,1.558835087066289e-4,0,0,0
female_18,0.01951860739989388,0.005376912402780215,0.03724882317771869,1.6736509348255698e-4,0.001216839578104879,1.6496779903787083e-4,0,0,0
female_19,0.019044461335563263,0.004847699439521497,0.03532352907682685,1.767301799610185e-4,0.001301942362008687,1.7429150949132917e-4,0,0,0
female_20,0.018506677947795216,0.004402875673643527,0.03349653329383691,1.8655529312977667e-4,0.001382094971445364,1.840894048621589e-4,0,0,0
