population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,125,Colombia,1,Male,1,<5 years,294,All causes,1,Number,2019,5656.245140756963,5838.279043521362,5485.246242385385
1,All Population,1,Deaths,125,Colombia,2,Female,1,<5 years,294,All causes,1,Number,2019,4394.727190834593,4521.168927661302,4269.67409085749
1,All Population,1,Deaths,125,Colombia,1,Male,1,<5 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,1,<5 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,1,<5 years,294,All causes,3,Rate,2019,289.93981413737333,299.2708941420045,281.17438980059916
1,All Population,1,Deaths,125,Colombia,2,Female,1,<5 years,294,All causes,3,Rate,2019,236.52544824979094,243.330577938567,229.7950553851788
1,All Population,1,Deaths,125,Colombia,1,Male,6,5-9 years,294,All causes,1,Number,2019,509.9120721348739,548.5305510783471,473.5877611332364
1,All Population,1,Deaths,125,Colombia,2,Female,6,5-9 years,294,All causes,1,Number,2019,383.96972191994104,413.9724624871796,356.65327753332565
1,All Population,1,Deaths,125,Colombia,1,Male,6,5-9 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,6,5-9 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,6,5-9 years,294,All causes,3,Rate,2019,27.11039637094094,29.163617560659016,25.179148763813757
1,All Population,1,Deaths,125,Colombia,2,Female,6,5-9 years,294,All causes,3,Rate,2019,21.362554155058273,23.031787778383997,19.842775408924787
1,All Population,1,Deaths,125,Colombia,1,Male,7,10-14 years,294,All causes,1,Number,2019,708.0868510315005,756.9604805805463,662.7834951226137
1,All Population,1,Deaths,125,Colombia,2,Female,7,10-14 years,294,All causes,1,Number,2019,477.8230919196998,513.3272207926407,446.9249018058045
1,All Population,1,Deaths,125,Colombia,1,Male,7,10-14 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,7,10-14 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,7,10-14 years,294,All causes,3,Rate,2019,35.41067555704234,37.85479415172495,33.1451025762733
1,All Population,1,Deaths,125,Colombia,2,Female,7,10-14 years,294,All causes,3,Rate,2019,25.128666135668674,26.995824537958338,23.503733568159003
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,294,All causes,1,Number,2019,2737.763286841857,2860.53465685767,2608.270767012282
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,294,All causes,1,Number,2019,846.1802736877346,897.2091826783605,795.6536952421608
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,8,15-19 years,294,All causes,3,Rate,2019,126.40065779273898,132.06892794695523,120.42207675019068
1,All Population,1,Deaths,125,Colombia,2,Female,8,15-19 years,294,All causes,3,Rate,2019,41.270618436820286,43.759443451638,38.80629351128452
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,294,All causes,1,Number,2019,4585.605384938754,4769.182444298439,4404.236843205411
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,294,All causes,1,Number,2019,1090.5590290056348,1152.5944657461787,1028.5275227821403
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,9,20-24 years,294,All causes,3,Rate,2019,205.04454204122194,213.25315811388126,196.93467944760633
1,All Population,1,Deaths,125,Colombia,2,Female,9,20-24 years,294,All causes,3,Rate,2019,50.10269419644819,52.952739387664074,47.25282958188018
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,294,All causes,1,Number,2019,4498.269555138195,4674.188793092071,4328.630255864866
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,294,All causes,1,Number,2019,1234.4168774299164,1300.5574537390025,1170.7802656119354
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,10,25-29 years,294,All causes,3,Rate,2019,211.93821047996263,220.22673299377138,203.94557040484835
1,All Population,1,Deaths,125,Colombia,2,Female,10,25-29 years,294,All causes,3,Rate,2019,58.412145093503874,61.54189243459504,55.400884415903576
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,294,All causes,1,Number,2019,4009.0883267934114,4157.902051129686,3849.7388114071387
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,294,All causes,1,Number,2019,1387.3181301136194,1460.268560143636,1317.1595335513148
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,294,All causes,2,Percent,2019,1.0,1.0,1.0
1,All Population,1,Deaths,125,Colombia,1,Male,11,30-34 years,294,All causes,3,Rate,2019,216.86408536713478,224.91388362240951,208.2443733301143
1,All Population,1,Deaths,125,Colombia,2,Female,11,30-34 years,294,All causes,3,Rate,2019,73.71762502426733,77.59397633085004,69.9896227720476
1,All Population,1,Deaths,125,Colombia,1,Male,12,35-39 years,294,All causes,1,Number,2019,3822.896810944198,3970.248156820748,3676.3715306842414
1,All Population,1,Deaths,125,Colombia,2,Female,12,35-39 years,294,All causes,1,Number,2019,1783.5663141015064,1879.6021626841916,1697.124635242496
