age,sex,age_sex,population,mx,pyld_rate,deaths_rate_ishd,ylds_rate_ishd,dw_adj_ishd,prevalence_ishd,deaths_rate_copd,ylds_rate_copd,dw_adj_copd,prevalence_copd,deaths_rate_dmt2,ylds_rate_dmt2,dw_adj_dmt2,prevalence_dmt2,case_fatality_copd,case_fatality_dmt2,case_fatality_ishd,incidence_copd,incidence_dmt2,incidence_ishd,remission_copd,remission_dmt2,remission_ishd
0,female,0_female,0,2.1344826342350516e-4,0.04471624574405611,1.2132848304431432e-6,1.9144786130125906e-6,0.06165483129258465,3.1854041912948254e-5,4.441643372177401e-7,1.97345626915088e-5,0.056566530683027264,3.5788962221453127e-4,7.319224121019275e-7,5.542205602576825e-5,0.0408684460012745,0.0013911554149932531,0.03382165003264257,0.06678715190825729,0.08823750720879342,4.561036091034183e-5,5.055509911891606e-5,5.772338488736744e-5,0,0,0
1,female,1_female,0,2.218894463152025e-4,0.046347194319158735,1.326424425059039e-6,2.2889103350990467e-6,0.06113509603623956,3.8544215557571286e-5,4.73531597287629e-7,2.1448134758503817e-5,0.05679289485990249,3.887913137929191e-4,7.766746698635382e-7,6.260568571335135e-5,0.041701616384555995,0.0015455459375132566,0.03162163303426252,0.050182422373634517,0.08049063460620784,5.312623159538207e-5,7.852616979793737e-5,6.45488574180723e-5,0,0,0
2,female,2_female,0,2.306644504686344e-4,0.04803762895375427,1.4501143599978832e-6,2.736573021246263e-6,0.06061974202189976,4.663949890593383e-5,5.048405620189377e-7,2.331049802369696e-5,0.05702016488587174,4.223611870763174e-4,8.241632348370173e-7,7.072043451106511e-5,0.04255177231427976,0.0017170707307172552,0.030520614672386252,0.043912102142964045,0.07800700092001786,5.711867238406498e-5,9.77719771448957e-5,6.804546432733109e-5,0,0,0
3,female,3_female,0,2.3978647742631164e-4,0.049789719300110065,1.5853384613137484e-6,3.2717891067099574e-6,0.06010873231675902,5.643500138036462e-5,5.382196130510575e-7,2.5334572177533498e-5,0.05724834438590164,4.5882962406801824e-4,8.745554142719242e-7,7.988699110067011e-5,0.043419260068702566,0.0019076313571304638,0.02970161595747064,0.03791064951112439,0.07433528469273186,6.165071329993022e-5,1.2334534777154617e-4,7.197876644758245e-5,0,0,0
4,female,4_female,0,2.49269250808709e-4,0.051605714144848776,1.7331722974761225e-6,3.91168219363318e-6,0.05960203029934572,6.828781302357737e-5,5.738056203613133e-7,2.7534398740265982e-5,0.057477436999464955,4.984468989200909e-4,9.280287451594321e-7,9.024168744494932e-5,0.04430443298553214,0.0021193404148164047,0.028733207923305262,0.032976073957141604,0.0711553760395883,6.582915746946449e-5,1.5294746614371343e-4,7.603025094876471e-5,0,0,0
5,female,5_female,0,2.591270369607466e-4,0.05348794429523841,1.8947917344094307e-6,4.676724900332431e-6,0.05909959965689831,8.263002203390648e-5,6.117445034969338e-7,2.9925238471572712e-5,0.057707446380598604,5.414848955049699e-4,9.84771619713978e-7,1.0193852641977417e-4,0.045207651605845556,0.0023545449581152946,0.027913893618393616,0.028450913146702155,0.06830877239490721,7.071721068991017e-5,1.889491400110388e-4,8.020851184045144e-5,0,0,0
6,female,6_female,0,2.6937466641477196e-4,0.05543882557075526,2.071482288295556e-6,5.591393858373461e-6,0.05860140438276308,9.998446632002239e-5,6.521918299145712e-7,3.252367723835195e-5,0.057938376197962056,5.882389732893767e-4,1.0449839490989968e-6,1.1515147226135552e-4,0.04612928382094188,0.0026158525176175687,0.027086262763304378,0.02485830028402867,0.06547677552902839,7.633622111225799e-5,2.3227679154170312e-4,8.4792868392882e-5,0,0,0
7,female,7_female,0,2.800275562023337e-4,0.05746086190375858,2.264649350531191e-6,6.684952813289109e-6,0.0581074087738136,1.20983793290017e-4,6.953134528808207e-7,3.5347741075124036e-5,0.0581702301348957,6.390299943156297e-4,1.1088778677351608e-6,1.3007703789394355e-4,0.04706970502218835,0.002906160007835836,0.026208252626865044,0.021631338795551174,0.06260532945225745,8.203995061681238e-5,2.826001770432908e-4,8.961876139907901e-5,0,0,0
8,female,8_female,0,2.911017330483125e-4,0.05955664855325746,2.47582936616912e-6,7.992388883315372e-6,0.05761757742789215,1.4639352268973848e-4,7.412861915494654e-7,3.8417021235244684e-5,0.058403011889479745,6.942065252010199e-4,1.1766784806724238e-6,1.4693720761867096e-4,0.04802929825392173,0.003228685843052233,0.025359151324794826,0.018952888629497816,0.06004613882317285,8.846438270458106e-5,3.4169539512297355e-4,9.47372122012183e-5,0,0,0
9,female,9_female,0,3.0261385748230437e-4,0.06172887543589409,2.7067020547563453e-6,9.555531930630645e-6,0.057131875241272584,1.7713995323437526e-4,7.902985560040629e-7,4.1752810100441816e-5,0.05863672517459311,7.541472292670547e-4,1.2486246566589837e-6,1.6598273863197864e-4,0.049008454369466554,0.0035870056173847005,0.02456285837021573,0.016565833345848407,0.057614405224424015,9.469973914184689e-5,4.090990558567114e-4,1.0014781608956714e-4,0,0,0
